id,Nível de ensino alcançado,Área de formação acadêmica,Faixa salarial mensal,Tempo de experiência na área de dados,Nível de senioridade,Gênero do profissional,Cor/Raça/Etnia,Setor de atuação da empresa,UF onde mora,Cargo atual,Oportunidade de aprendizado,Reputação da empresa
001b2d1qtli8t9z7oqgdhj001b2d4i0g,Doutorado ou Phd,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 12.001/mês a R$ 16.000/mês,de 3 a 4 anos,Sênior,Masculino,Branca,Finanças ou Bancos,MG,Cientista de Dados/Data Scientist,1.0,0.0
0026aa3fwd78u0026asg7456tfkjg2cs,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 3 a 4 anos,Pleno,Masculino,Branca,Finanças ou Bancos,ES,Analista de BI/BI Analyst,0.0,0.0
00r21rb9pusd1b0v7ew00r21rw3dy69w,Graduação/Bacharelado,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 6.001/mês a R$ 8.000/mês,de 1 a 2 anos,Júnior,Feminino,Amarela,Finanças ou Bancos,SP,Analista de Dados/Data Analyst,0.0,0.0
00v0az4g792svil00vn6y1kfm9hq8vy9,Doutorado ou Phd,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,Menos de 1 ano,Júnior,Masculino,Branca,Outra Opção,MG,Analista de Dados/Data Analyst,0.0,0.0
015qqbrh4rr015qje9gvkbsb7ti1n5df,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 8.001/mês a R$ 12.000/mês,de 1 a 2 anos,Pleno,Masculino,Branca,Tecnologia/Fábrica de Software,RJ,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect,0.0,0.0
01810y9hweneb018to8t1p8ubyn1o04m,Graduação/Bacharelado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 4.001/mês a R$ 6.000/mês,de 3 a 4 anos,Pleno,Masculino,Branca,Finanças ou Bancos,SP,Analista de Negócios/Business Analyst,0.0,0.0
01zusm1faol2k2601zlthh05cj7iqyit,Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de R$ 1.001/mês a R$ 2.000/mês,de 1 a 2 anos,Júnior,Masculino,Preta,Setor Público,SE,Analista de BI/BI Analyst,0.0,0.0
02yuxvtb6698rqwq8w02yuza594l7cut,Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de R$ 3.001/mês a R$ 4.000/mês,de 1 a 2 anos,Pleno,Feminino,Preta,Tecnologia/Fábrica de Software,RS,Outra Opção,0.0,0.0
04b8mbh28y4r0z04b8f42bs4j4ma44pl,Graduação/Bacharelado,Estatística/ Matemática / Matemática Computacional/ Ciências Atuariais,de R$ 4.001/mês a R$ 6.000/mês,de 5 a 6 anos,Pleno,Feminino,Branca,Setor Público,RJ,Analista de Dados/Data Analyst,0.0,0.0
04ellbzcl7lj3va9n1yx04eleu3mlvml,Mestrado,Outra opção,de R$ 2.001/mês a R$ 3.000/mês,de 1 a 2 anos,Júnior,Feminino,Prefiro não informar,Tecnologia/Fábrica de Software,MG,Analista de Negócios/Business Analyst,0.0,0.0
